event_uid	dataset_track	sample_group	process_family	canary_lane	source_endpoint	remote_path	remote_size_bytes	remote_adler32	entry_index	sampling_mode	selection_seed	selection_rank_within_group	target_valid_events_per_file	scan_limit_per_file	preprocessing_valid	preprocessing_failure_code	particle_count	used_particle_count	was_truncated	adapter_name	adapter_version	model_id	model_checkpoint_sha256	preprocessing_contract_sha256	score_contract_sha256	runtime_environment_id	model0_signal_probability	model0_qcd_probability	model0_ttbar_probability	model1_signal_probability	model1_qcd_probability	model1_ttbar_probability	model2_signal_probability	model2_qcd_probability	model2_ttbar_probability	ensemble_signal_probability	ensemble_qcd_probability	ensemble_ttbar_probability	ensemble_overall_top1_class	ensemble_signal_grid_top1_class	model_overall_top1_agreement	model_signal_grid_top1_agreement	raw_gen_weight_payload_json	physical_weight_status	physical_event_weight
6dfc15fb7da652679a435663d52973b08385dd28e70dbe593b06dd036d1b080d	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	0	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		147	147	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0005152328075297419	0.9993587136268616	0.00012614933075383306	0.0010097043987400411	0.998938262462616	5.211545430938713e-05	0.000512598321293467	0.9993472695350647	0.00014020677190274	0.00067917850918775	0.999214748541514	0.00010615718565532006	136	114	True	False	[1.0]	blocked_pending_author_clarification	
b8c1175caeb9a4bb4b9dc520e1286b006c1faee4de76f02e7320784df79d5d83	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	1	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		139	139	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	8.61417758972749e-05	0.9569849967956543	0.042928844690322876	0.00022628461930374044	0.981744110584259	0.018029624596238136	4.962239968619997e-05	0.9928192496299744	0.007131163030862808	0.00012068293162907176	0.9771827856699625	0.02269654410580794	136	132	True	False	[1.0]	blocked_pending_author_clarification	
b909d213a568c234102a33ef798da3d831b8aa2344312ebae110d0e6473fb6e9	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	2	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		73	73	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0014281363147006232	0.998570442199707	1.38577615871327e-06	0.002181265292108492	0.9978173971176147	1.3104731806379277e-06	0.0010878933284317327	0.9989105463027954	1.6198923731280956e-06	0.0015657649784136158	0.9984327952067057	1.4387139041597645e-06	136	32	True	True	[1.0]	blocked_pending_author_clarification	
0a61c7b65cf29c99ddba8426a7a956ef82ecb00fdc590ea0643368fb4bcd82bf	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	3	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		142	142	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.00901772832980896	0.9703195095062256	0.020662613213062286	0.009979683772144199	0.9371719360351562	0.05284835770726204	0.0091314094580639	0.9718837141990662	0.018984951078891754	0.00937627385333902	0.9597917199134827	0.030831973999738693	136	15	True	False	[1.0]	blocked_pending_author_clarification	
53b2841dc4ca5ce2d0a295a603760b79c08e5be8bd245b731f7c1bc7645e0375	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	4	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		172	172	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0005901276542630285	0.9962426424026489	0.0031672739423811436	0.0007349767374194016	0.9931974411010742	0.0060674650594592094	0.0005380703182709112	0.9986086487770081	0.00085335603216663	0.0006210582366511137	0.996016244093577	0.003362698344668994	136	57	True	True	[1.0]	blocked_pending_author_clarification	
eb04a48d328b03eafb60f7ac286eebc935d3ecf7c69a8eb1201d6221e22b8c21	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	5	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		89	89	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.014441678587104434	0.9855412840843201	1.7052327166311443e-05	0.0068876785039719834	0.9931035041809082	8.846749551594257e-06	0.00570965517147215	0.9942781925201416	1.2042329217365477e-05	0.00901300408751619	0.9909743269284567	1.264713531175706e-05	136	46	True	False	[1.0]	blocked_pending_author_clarification	
2bf316dc6123ef9a3a94a65d8b94d2d71c7f749b8ccf92602d12289f7a0e57c3	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	6	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		168	168	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0010168776684906788	0.9984924793243408	0.0004907969851046801	0.0015620827876432486	0.9981573224067688	0.00028070950065739453	0.001578418210073096	0.9981960654258728	0.0002256099396618083	0.0013857928887356745	0.9982819557189941	0.000332372141807961	136	15	True	False	[1.0]	blocked_pending_author_clarification	
b68702899393b2ad4fc328493b76209e82fde8c80df345a7ae6346840bd81e36	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	7	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		106	106	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.009432081876184384	0.9904810786247253	8.687377703608945e-05	0.008640327055900343	0.9912521243095398	0.00010745244071586058	0.007060771870328608	0.9928449988365173	9.408227924723178e-05	0.008377726934137778	0.9915260672569275	9.613616566639394e-05	136	57	True	False	[1.0]	blocked_pending_author_clarification	
e32c3fe9586f1e47af73261f568d4b1dfad87a3e8b79057151f6900e430c824c	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	8	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		171	171	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0013181958182428843	0.9985703229904175	0.00011143776646349579	0.0013302425491446002	0.9986270666122437	4.284159149392508e-05	0.0012632111996566664	0.9986181259155273	0.00011876719509018585	0.001303883189014717	0.9986051718393961	9.101551768253557e-05	136	77	True	False	[1.0]	blocked_pending_author_clarification	
80de869526f4205addd1b2a7e30bdb9fd6ae1e0215794a3ff47176c489093189	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	9	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		100	100	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.00020535744230265607	0.9997345805168152	6.002655572956428e-05	0.0008809151801401072	0.9990816116333008	3.739430758287199e-05	0.0008419958780194747	0.998948872089386	0.00020916221546940506	0.000642756166820746	0.9992550214131674	0.00010219435959394711	136	95	True	False	[1.0]	blocked_pending_author_clarification	
