replica	category_id	selected_structure_id	threshold_variable	threshold_value	supporting_outer_fold_count	supporting_outer_folds_json	is_nominal_structure
0	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.26047706604	2	[1,2]	True
0	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.845249668601895	2	[1,2]	True
10	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.63222885131833	3	[0,2,4]	True
10	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.94481393463384	3	[0,2,4]	True
11	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.76450347900388	2	[1,4]	True
11	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.89339477775931	2	[1,4]	True
22	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.72596740722653	2	[1,2]	True
22	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.70047245062416	2	[1,2]	True
22	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[1,3]	True
22	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	167.2173981515162	2	[1,3]	True
22	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.81921461769713	2	[1,3]	True
24	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	186.57288455963132	2	[1,3]	True
24	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.04873055822543	2	[1,3]	True
24	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[1,3]	True
24	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	167.96873293391974	2	[1,3]	True
24	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.85451883115752	2	[1,3]	True
30	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	183.85602951049802	3	[0,1,2]	True
30	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.84943619506817	3	[0,1,2]	True
31	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.30421066284177	2	[2,3]	True
31	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.99236457125281	2	[2,3]	True
35	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.33173274993894	4	[0,1,3,4]	True
35	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.369112354216995	4	[0,1,3,4]	True
71	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.2462246417999	2	[0,4]	True
71	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.24595086716994	2	[0,4]	True
78	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.10147285461423	2	[1,3]	True
78	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.63950933628577	2	[1,3]	True
81	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	185.78400409221646	2	[0,4]	True
81	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.73817776145448	2	[0,4]	True
95	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[1,3]	True
95	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	211.55339764208227	2	[1,3]	True
95	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.796129312064906	2	[1,3]	True
99	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.39404678344724	4	[0,1,2,3]	True
99	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.456658586447624	4	[0,1,2,3]	True
101	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.85591125488278	3	[0,2,4]	True
101	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.90638595739956	3	[0,2,4]	True
105	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	208.2866218090057	2	[0,3]	True
105	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	43.150250042301316	2	[0,3]	True
107	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	205.72136855125424	2	[3,4]	True
107	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	42.05520000222512	2	[3,4]	True
110	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[2,3]	True
110	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	208.7757371124349	2	[2,3]	True
110	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	34.35590411564422	2	[2,3]	True
119	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	179.95448172092435	2	[0,3]	True
119	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.312959496747226	2	[0,3]	True
154	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.18093490600583	3	[2,3,4]	True
154	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.37350907938907	3	[2,3,4]	True
158	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.43220520019528	3	[2,3,4]	True
158	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.59795547155694	3	[2,3,4]	True
166	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.8647537231445	2	[1,2]	True
166	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.57247236543664	2	[1,2]	True
173	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	180.74484825134275	2	[1,3]	True
173	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.605357605092436	2	[1,3]	True
175	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.67221832275388	3	[0,2,4]	True
175	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.52839336950561	3	[0,2,4]	True
181	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.41771697998044	3	[2,3,4]	True
181	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.265107759159754	3	[2,3,4]	True
189	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.86988830566403	2	[0,4]	True
189	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.09747252391874	2	[0,4]	True
190	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.295202255249	2	[0,4]	True
190	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.36625176995574	2	[0,4]	True
190	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.904302164473993	2	[0,2]	True
190	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	166.54852727726075	2	[0,2]	True
190	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.811534189591384	2	[0,2]	True
