category_id	metric	initial200_value	all1000_value	all1000_minus_initial200
exact3tag	modal_replica_selected_frequency	0.185	0.185	0.0
exact3tag	nominal_structure_recovery_frequency	0.12	0.119	-0.001
exact3tag	top_two_frequency_gap	0.04	0.0509999999999999	0.0109999999999999
exact3tag	unique_modal_replica_category_fraction	0.605	0.62	0.015
exact3tag	tie_resolution_replica_category_fraction	0.395	0.38	-0.015
exact3tag	infeasible_fold_winner_frequency	0.538	0.5552	0.0171999999999999
exact3tag	fold_winner_support_failure_frequency	0.0	0.0	0.0
ge4tag	modal_replica_selected_frequency	0.26	0.207	-0.053
ge4tag	nominal_structure_recovery_frequency	0.025	0.034	0.009
ge4tag	top_two_frequency_gap	0.13	0.0819999999999999	-0.048
ge4tag	unique_modal_replica_category_fraction	0.64	0.62	-0.02
ge4tag	tie_resolution_replica_category_fraction	0.36	0.38	0.02
ge4tag	infeasible_fold_winner_frequency	0.156	0.1572	0.0012
ge4tag	fold_winner_support_failure_frequency	0.0	0.0	0.0
